GEO,WEEK_START,YT_PAID_IMP,YT_ORG_IMP,GOOGLE_IMP,EMAIL_IMP,FB_IMP,AFF_IMP,GOOGLE_SPEND,FB_SPEND,AFF_SPEND,REVENUE
A,12/22/18,9967,3548,405196,345259,60643,5060,3719.7,1910.25,159.39,109947
A,12/29/18,7077,3641,428545,486211,46804,5208,7328.12,1095.21,63.28,66448
A,1/5/19,6132,3471,391548,485386,19462,6301,8668.87,481.68,94.99,69510
A,1/12/19,9731,2608,375771,364144,41106,7589,7643.18,693.66,198.07,55500
A,1/19/19,9712,1968,404244,456348,85338,9046,9168.25,2592.14,118.05,82436
A,1/26/19,11771,3519,386823,372105,276066,11929,9260.54,4907.07,246.93,70817
A,2/2/19,6761,2397,463446,357295,200653,10255,11678.84,4334.1,249.2,68198
A,2/9/19,8520,2620,367753,359404,114913,9686,3574.56,2973.37,274.6,64101
A,2/16/19,12710,3839,299212,459178,123603,9054,6085.97,1390.53,110.01,103598
A,2/23/19,5701,3091,318287,301736,42684,8391,3666.67,989.2,194.46,81055
A,3/2/19,500,2885,447543,413408,22730,8887,9828.04,485.85,245.95,74590
A,3/9/19,620,2187,456481,386117,36033,8725,5751.66,1135.04,129.57,59796
A,3/16/19,401,4223,484186,354992,67296,11077,5926.44,1287.04,174.46,87191
A,3/23/19,784,5680,553451,355042,79074,9375,8567.42,2419.66,126.56,82885
A,3/30/19,554,7524,390828,435633,108523,8684,8863.98,2002.25,99.65,67061
A,4/6/19,3179,8439,432125,364179,57047,8476,5678.12,1527.43,129.68,79718
A,4/13/19,4026,7447,510358,354104,88100,7432,7624.75,2180.48,135.45,55278
A,4/20/19,6957,8715,546329,383993,125562,7300,12292.4,3898.7,179.03,75983
A,4/27/19,8020,6160,467319,446418,109421,8354,8495.86,3151.32,204.88,90974
A,5/4/19,11691,6807,561319,318657,88528,6379,5961.21,2669.12,149.27,80480
A,5/11/19,13142,9093,486682,260976,112100,7540,6395,1740.35,229.03,77122
A,5/18/19,15336,10755,417293,309007,169856,5875,3755.64,3936.41,70.06,65836
A,5/25/19,15917,10120,582162,299887,200356,7088,12993.86,4868.65,157.89,87411
A,6/1/19,18772,12188,560371,262085,66883,6118,9380.61,1790.79,180.33,71105
A,6/8/19,67920,17718,532704,243526,148985,8295,9492.79,2212.43,139.98,61429
A,6/15/19,42475,17136,395158,262127,162451,6758,6757.2,2266.19,97.32,100718
A,6/22/19,21638,16547,285499,315185,145226,7373,6320.95,2940.83,218.98,83203
A,6/29/19,23628,16378,469657,324401,94627,6103,5833.14,2299.44,105.73,70026
A,7/6/19,21595,16185,602528,303023,84208,7020,13014.6,2482.03,154.79,64059
A,7/13/19,19294,27347,682543,191098,201701,10817,10074.33,5309.78,126.56,97488
A,7/20/19,18559,35294,565820,402715,114461,9954,5703.47,3502.51,150.06,80835
A,7/27/19,26139,29638,552821,255144,163260,8132,7562.59,3967.22,193.95,67987
A,8/3/19,46219,36834,262613,200978,63447,7561,4207.06,1027.84,205.85,65743
A,8/10/19,25766,39727,321418,245340,87072,9432,5554.1,2115.85,248.3,51781
A,8/17/19,24463,35561,393929,267966,119473,10070,8792.5,1854.82,117.82,88469
A,8/24/19,22863,23853,467201,266249,84480,7991,4204.81,1216.51,140.24,114522
A,8/31/19,20780,14495,342902,288880,86358,8960,5493.29,2351.1,104.83,89866
A,9/7/19,24481,13773,539808,360323,198612,6397,12631.51,3083.45,97.87,99880
A,9/14/19,24691,9958,341921,457786,182345,7990,5292.94,3364.27,158.2,108644
A,9/21/19,25762,9740,340565,463793,322838,7243,3984.61,6101.64,81.48,85220
A,9/28/19,35098,13969,579526,274265,900830,8018,11474.61,17836.43,162.36,76997
A,10/5/19,7600,16816,608615,396417,242145,6885,13365.19,4957.92,170.4,163874
A,10/12/19,9223,9742,547427,422359,255787,6505,13401.01,5525,103.92,136164
A,10/19/19,14508,9127,501647,376703,231850,7422,9752.02,4851.46,86.84,144244
A,10/26/19,11285,10191,928601,370228,199638,6467,20559.23,3189.22,196.44,135736
A,11/2/19,11806,11485,962662,338883,214581,6690,16634.8,5069.48,84.29,118467
A,11/9/19,11209,13837,2084147,544602,354647,7103,45017.58,4787.73,166.21,214919
A,11/16/19,13201,20528,2237438,703271,579792,6926,52758.79,9783.99,95.06,217094
A,11/23/19,8799,18109,1796295,380940,1140918,7574,38153.31,20536.52,206.2,206061
A,11/30/19,8908,15294,1911999,702137,689345,6686,33039.34,20628.65,173,388146
A,12/7/19,9177,13014,915377,643742,694144,6474,14664.34,8746.21,90.31,358799
A,12/14/19,9113,13371,379714,384385,632111,7236,8475.22,18773.7,151.41,275981
A,12/21/19,7847,12078,328445,389721,341376,4683,3724.57,4839,55.84,186635
A,12/28/19,7921,13014,535421,266666,108958,6964,7806.44,1446.42,78.35,130755
A,1/4/20,26756,14773,286585,307896,95349,5720,5364.87,1265.76,176.32,129272
A,1/11/20,9038,19361,294204,408193,130872,6109,3865.84,4122.47,70.1,90981
A,1/18/20,18550,17990,314118,387120,149976,6948,7746.15,2564.59,145.39,105848
A,1/25/20,21626,16855,504923,320358,114312,6684,7361.78,3112.14,201.52,76253
A,2/1/20,24140,21028,565733,997443,39280,5686,9470.37,751.23,135.61,72475
A,2/8/20,24187,22064,574706,365408,161435,4944,10448.16,2724.22,143.5,77613
A,2/15/20,23008,25885,432938,288944,292028,6133,7091.52,9198.88,136.61,168172
A,2/22/20,18726,25271,442591,415592,286872,6760,7807.31,9036.47,112.55,119598
A,2/29/20,13873,22205,430426,300294,148089,6864,9684.59,1865.92,105.02,99357
B,1/6/18,167,782,708,2567848,667172,95360,12.62,20565.58,2209.97,519479
B,1/13/18,552,143,441,3715497,103319,82360,5.95,3184.81,963.61,501041
B,1/20/18,659,144,687,3151602,570292,112565,11.01,8212.2,2937.95,510120
B,1/27/18,108,850,631,3066069,777349,71675,8.06,9619.69,1161.14,594620
B,2/3/18,644,949,730,2996176,397171,51602,6.83,6076.72,1462.92,477962
B,2/10/18,288,684,974,3187964,345807,70150,22.97,10503.89,1341.62,459629
B,2/17/18,302,463,598,4653502,1077632,58421,14.64,16487.77,1761.39,725682
B,2/24/18,156,939,7,4071754,416,51373,0.17,5.34,786.01,681781
B,3/3/18,101,48,134,3104301,60767,51214,2.58,1914.16,783.57,592972
B,3/10/18,677,40,827,3462290,912150,60135,13.1,28322.26,784.76,618537
B,3/17/18,59,332,813,3414406,129782,53325,16.68,3036.9,1511.76,570268
B,3/24/18,215,682,933,3112464,566913,90944,16.79,17347.54,1943.93,522359
B,3/31/18,312,115,238,3134953,224500,70291,4.76,3384.34,1439.21,514827
B,4/7/18,727,714,1125284,3074436,922486,65094,20457.66,25944.92,820.18,395204
B,4/14/18,138,555,1893757,3723371,501985,88040,29997.11,7228.58,2634.6,543409
B,4/21/18,320,651,1913649,3023108,309955,112846,35479.05,3765.95,2615.21,667811
B,4/28/18,384,819,2092279,3473210,411757,108438,29375.6,11765.96,2757.04,582643
B,5/5/18,273,217,2322498,2930451,397061,79894,27591.28,7057.76,1042.62,665200
B,5/12/18,453,105,3039917,2547977,278934,101932,29547.99,5522.89,1834.78,614420
B,5/19/18,664,261,3124400,2779082,48043,90291,52302.46,1459.31,2011.23,595965
B,5/26/18,669,375,2871184,3355129,168771,121571,53748.56,3797.35,2872.11,634101
B,6/2/18,952,632,2272124,2452685,541299,101971,24947.92,11935.64,1973.14,655722
B,6/9/18,511,454,2080113,2757172,796597,104888,35195.51,19536.54,3020.77,635059
B,6/16/18,752,589,1950768,2482384,427505,110696,48105.94,12119.77,1369.86,638660
B,6/23/18,314,51,2119232,2895756,368141,116721,22887.71,11182.28,2363.6,509332
B,6/30/18,644,185,2375649,2727760,412954,113979,57728.27,8362.32,2231.14,714253
B,7/7/18,13,538,3089843,2377338,613344,92296,43937.57,18630.32,1204.46,461785
B,7/14/18,662,997,3601623,3399995,1467545,91588,86222.85,37312.33,1174.62,611487
B,7/21/18,991,729,2806291,2582640,1085615,87240,40410.59,19541.07,2061.05,880827
B,7/28/18,391,344,2876343,2696831,739123,88308,49185.47,12639,1053.07,653011
B,8/4/18,348,697,2767911,2101894,862523,83442,29395.21,16301.68,1013.82,585925
B,8/11/18,171,860,2778987,2620888,966378,79943,64027.86,28483.99,1924.63,519537
B,8/18/18,170,5,3991326,3034154,1304004,93996,56038.22,32567.5,1205.5,718408
B,8/25/18,204,935,4276996,3074457,2506290,101497,53120.29,69925.49,1986.8,916325
B,9/1/18,909,599,4686508,2432406,2171599,87374,59893.57,39088.78,1277.84,791985
B,9/8/18,806,172,4370346,2552039,2552403,79124,78666.23,49963.29,1798.09,663538
B,9/15/18,563,87,5028786,2481211,1853270,77736,105001.05,38362.69,2326.25,760047
B,9/22/18,574,47,4966793,2402492,2041733,61418,75991.93,34913.63,1174.62,751648
B,9/29/18,821,925,5888798,2120251,2009939,83852,116598.2,30299.83,1075.4,915777
B,10/6/18,744,6940,5198701,1947214,887037,67961,84218.96,20557.08,1804.36,937883
B,10/13/18,707,16626,4531293,1929278,1027901,59790,66881.88,21971.38,1614.33,980869
B,10/20/18,19,15255,5878924,1898493,1036541,57828,66667,20057.07,923.8,1103975
B,10/27/18,747,15187,5445634,2008494,1112626,54581,87239.06,26786.47,1375.44,996762
B,11/3/18,110,15319,5228192,1969302,1701817,49709,90343.16,46714.88,872.39,1089137
B,11/10/18,232,39333,8566232,4088594,1845957,55509,174237.16,29489.16,986.67,1683384
B,11/17/18,189,36081,12556735,4014758,2570416,52308,275745.9,67666.2,1318.16,1859541
B,11/24/18,6313,21117,14455623,4085228,6232118,52273,294027.37,155647.15,1528.99,3322758
B,12/1/18,12544,13893,9718005,5049751,1194281,53050,153933.2,24452.9,1324.92,2363272
B,12/8/18,127934,14056,4759744,3123675,727994,45462,81391.62,13431.49,1186.56,1656624
B,12/15/18,118065,21987,4029480,2592871,1647626,39128,71080.03,46339.48,519.42,1791713
B,12/22/18,69204,20527,3441797,2530840,558878,44839,55757.11,11317.28,797.01,1146554
B,12/29/18,61107,18855,3516766,3566030,532831,51549,87989.49,8871.64,1020.67,654528
B,1/5/19,43376,20075,3407128,3560587,228115,62676,50289.21,5081.26,1565.33,669837
B,1/12/19,66173,19910,3164986,2668615,442640,69608,43297.01,11254.12,1268.61,500164
B,1/19/19,69637,15982,3337686,3350661,909786,79321,82908.12,16785.55,1463.47,714912
B,1/26/19,64284,18332,3339944,2727133,2549912,114238,70339.22,34423.81,2570.36,561777
B,2/2/19,41457,16391,3878669,2622442,2079398,96614,94949.82,60354.53,2434.67,618388
B,2/9/19,54647,17059,3098016,2634231,1254062,93306,40707.93,35270.49,2939.14,549592
B,2/16/19,88331,27367,2600816,3365962,1288726,79824,61795.39,40014.94,1293.15,878908
B,2/23/19,32298,18359,2683684,2210872,446618,82312,34780.54,9345.48,1722.38,672766
B,3/2/19,629,23406,3760463,3034566,215189,77825,39259.23,2808.22,945.57,600229
B,3/9/19,953,22592,3761445,2831191,322268,80302,44008.91,5365.76,2005.54,517835
B,3/16/19,699,30759,3946335,2602776,525780,97805,55406.54,13486.26,2112.59,675957
B,3/23/19,446,49874,4546145,2600420,614584,93502,106379.79,7882.04,2819.09,621623
B,3/30/19,70,61783,3308896,3192972,883122,88948,76236.96,16094.9,1260.84,524146
B,4/6/19,25129,64628,3472944,2673952,456805,74042,80641.76,7914.15,982.91,544685
B,4/13/19,28143,60968,4200745,2594313,712343,69865,90736.09,9616.63,974.62,472331
B,4/20/19,45913,63300,4391027,2819126,1991810,72644,71925.02,40782.31,849.93,579726
B,4/27/19,59888,48963,3916949,3273841,732271,83282,38072.74,15981.81,1143.05,630316
B,5/4/19,82731,52250,4795069,2333309,615779,62846,86311.24,8590.12,1286.77,658870
B,5/11/19,96026,69144,4227702,1916499,808888,66579,71532.72,11465.99,913.8,652238
B,5/18/19,107689,78934,3694520,2262770,1227853,64049,47880.98,25416.56,763.78,519188
B,5/25/19,116191,73173,4942040,2199083,1385713,70342,47147.06,15901.06,1978.37,697640
B,6/1/19,142286,89322,4595967,1923143,523291,67980,58736.46,10243.42,1651.91,631737
B,6/8/19,518190,118035,4258513,1787703,1080867,71643,104248.4,33074.53,2111.68,503836
B,6/15/19,320747,118357,3169725,1921345,1056987,71551,29098.08,17361.01,1094.73,718039
B,6/22/19,161523,113616,2320686,2312107,1047035,68232,30911.54,24265.04,1320.29,668985
B,6/29/19,177973,111749,3678401,2377687,673348,59277,74818.68,14392.81,1133.67,595480
B,7/6/19,162477,113411,4804403,2217962,562995,73561,108099.07,14947.52,2234.42,497756
B,7/13/19,149054,199223,5388471,1399749,1340892,102225,108631.58,24136.06,1886.05,797318
B,7/20/19,140159,245612,4510005,2950986,751226,101191,97416.11,22480.44,3141.98,694224
B,7/27/19,194255,195013,4617649,1868192,1080903,92308,68156.5,26995.55,2160.01,496000
B,8/3/19,321082,243245,2300864,1469535,448841,78338,37688.15,6564.3,1304.33,540922
B,8/10/19,192719,270453,2614655,1799258,718174,92610,24943.81,13088.72,1687.82,429047
B,8/17/19,186111,246839,3260361,1962767,889711,100329,78639.91,12411.47,1309.29,638861
B,8/24/19,180135,171390,3969561,1948371,636764,87438,36440.57,13324.29,1278.78,964944
B,8/31/19,159155,105639,2944326,2115320,589137,75413,37628.49,9146.35,2222.8,731039
B,9/7/19,179974,91773,4489656,2638564,1329886,68032,74348.7,17654.24,1591.95,824591
B,9/14/19,178914,68433,2780542,3356824,1183683,74325,33032.84,28497.17,1538.53,905326
B,9/21/19,183440,65832,2845529,3403239,2407679,74653,42512.2,62840.42,1814.07,625703
B,9/28/19,252545,97645,4773201,2012938,6830232,80691,112552.08,110649.76,1670.3,644279
B,10/5/19,51733,122769,5152227,2909945,1826614,72677,128908.72,53428.46,1488.06,1312317
B,10/12/19,57061,75270,4680448,3099795,1936770,64015,86775.51,30939.9,1483.55,1005284
B,10/19/19,93809,76819,4219286,2759348,1824157,77661,95693.41,33245.26,1939.58,1062528
B,10/26/19,75001,71609,7703308,2711862,1422217,73449,140046.14,18559.93,1487.34,1010111
B,11/2/19,79201,86948,7949518,2484592,1675863,69402,80131.14,30919.67,890.08,855045
B,11/9/19,81735,108591,16420655,3996159,2693115,67371,369464.74,52111.78,1621.96,1612138
B,11/16/19,92116,156033,17150439,5160764,4287559,65316,339578.69,81999.57,896.46,1897738
B,11/23/19,59201,136241,13994100,2795715,7558435,66344,314867.25,100338.22,1029.99,1712792
B,11/30/19,62934,100749,16001714,5153552,4599296,63817,273629.31,140738.46,1522.04,3561292
B,12/7/19,62374,92268,8074788,4723940,4405999,63435,162787.73,96160.93,1270.29,3575430
B,12/14/19,63230,101429,3454877,2821666,3994617,52322,50993.98,95271.62,1342.06,2424124
B,12/21/19,58124,87304,2981529,2856058,2001672,49302,71914.48,36930.85,1131.48,1711404
B,12/28/19,61786,100971,4548798,1952837,816579,69536,113810.93,9553.97,1689.72,1169089
B,1/4/20,195738,120869,2542278,2254585,696406,55778,51252.32,20369.88,1568.76,1076531
B,1/11/20,73445,147222,2574414,2994248,848370,69518,52826.98,16606.84,797.72,742503
B,1/18/20,143677,130214,2818806,2836285,988647,62133,65452.68,26471.02,1034.51,846319
B,1/25/20,154641,131387,4304549,2346664,804768,66005,68958.87,18831.57,965.32,618357
B,2/1/20,183982,153772,4880566,7317730,280897,56815,114205.24,7331.41,1636.27,596327
B,2/8/20,187562,164818,4924815,2679299,1066783,49963,109921.87,18722.04,640.78,619802
B,2/15/20,183691,198041,3581869,2118857,1884146,59426,65763.11,45784.75,735.4,1181536
B,2/22/20,147564,190041,3670032,3051189,1779732,70252,41618.16,22024.18,2102.29,968892
B,2/29/20,118075,173100,3534401,2198398,680796,59464,69981.14,14552.01,869.66,715626
C,1/6/18,228,393,318,74238,15186,4361,4.24,372.44,114.8,39282
C,1/13/18,904,543,762,107819,2807,3334,16.6,71.37,66.01,54136
C,1/20/18,636,901,404,92003,8171,4318,8.8,172.82,116.59,59541
C,1/27/18,510,435,196,89059,12224,3441,4.06,376.8,64.26,80242
C,2/3/18,91,622,138,87121,7527,2801,2.86,191.37,69.32,76308
C,2/10/18,906,611,231,93089,7340,3687,3.58,95.79,85.45,48171
C,2/17/18,500,992,354,134962,19186,3966,4.72,362.62,94.59,72861
C,2/24/18,975,497,124,117761,134,2603,1.23,1.51,29.87,80822
C,3/3/18,716,711,907,89993,2558,3170,22.37,70.79,83.45,120957
C,3/10/18,19,48,672,100183,12646,2846,15.36,176.41,86.45,84285
C,3/17/18,379,218,744,98752,1948,3794,9.78,27.17,58.9,55393
C,3/24/18,531,641,296,90189,12949,3464,6.87,180.64,89.63,67983
C,3/31/18,447,879,530,90899,5487,3572,9.73,116.05,67.51,133632
C,4/7/18,621,155,770,89349,16788,3379,14,343.73,80.59,39520
C,4/14/18,993,376,430,108189,9852,3280,10.68,177.34,87.08,39494
C,4/21/18,542,620,82,88345,6638,3832,1.21,183.71,75.01,89292
C,4/28/18,873,262,255,100937,4184,2537,3.03,117.68,49.66,75097
C,5/5/18,481,254,564,85150,7493,2062,5.38,138.25,33.4,56136
C,5/12/18,325,957,740,74191,6090,3060,13.45,79.47,35.11,83637
C,5/19/18,691,654,889,80802,1192,3610,17.6,28.97,43.86,102751
C,5/26/18,200,671,36,97050,3092,3509,0.51,65.4,67.11,68179
C,6/2/18,101,963,554,71587,7819,3293,9.47,225.19,46.68,119482
C,6/9/18,975,744,196,79821,12747,2286,2.54,195.03,59.15,111781
C,6/16/18,661,458,574,71900,6624,3842,12.61,192.26,108.06,110249
C,6/23/18,270,845,184,84130,5275,4290,2.75,109.19,70.46,63436
C,6/30/18,654,138,842,78935,5977,4259,19.1,119.69,87.2,119573
C,7/7/18,920,241,583,69520,4890,3255,11.86,107.82,84.96,48108
C,7/14/18,171,65,156,99009,19996,4469,3.43,548.89,62.34,49500
C,7/21/18,237,90,818,75248,16787,3554,12.66,389.04,80.76,66376
C,7/28/18,694,943,750,78732,11920,3346,17.96,254.79,84.32,49643
C,8/4/18,304,452,542,60774,12207,3260,11.32,315.86,87.29,44803
C,8/11/18,902,524,175,75769,15196,2499,1.76,184.63,46.11,50488
C,8/18/18,336,428,635,88205,24599,3048,9.83,514.73,80.24,42106
C,8/25/18,121,478,657,89008,42002,2996,9.7,680.43,93.7,89428
C,9/1/18,369,515,813,70944,32062,3575,18.59,995.53,77.22,47607
C,9/8/18,791,811,373,74256,38017,2837,5.1,761.29,64.47,41392
C,9/15/18,172,319,234,72378,29787,1676,2.32,904.78,30.92,47841
C,9/22/18,159,592,516,69574,31127,1797,10.4,707.36,55.39,66568
C,9/29/18,927,801,226,61505,28429,1810,4.35,799.57,50.91,45527
C,10/6/18,618,378,511,56325,14671,1469,10.3,349.9,25.12,75734
C,10/13/18,570,106,265,55804,17635,2082,4.67,365.04,37.01,99394
C,10/20/18,254,342,286,55208,15757,1986,3.09,255.26,57.2,146290
C,10/27/18,296,84,450,58657,15579,1351,8.83,354.03,34.96,136990
C,11/3/18,25,1011,39,57435,23392,1330,0.6,694.74,34.11,155669
C,11/10/18,19,295,925,119185,36467,2071,10.99,968.2,26.56,131953
C,11/17/18,999,171,978,116692,50268,1544,10.21,1232.82,29.88,173164
C,11/24/18,454,424,799,118450,98923,1331,15.1,1936.42,33.24,326023
C,12/1/18,592,42,643,146330,19800,1694,9.84,360.86,21.73,191931
C,12/8/18,1510,1365,133,90858,10586,1718,2.3,209.6,28.99,125515
C,12/15/18,1600,1127,231,75084,17786,1515,4.95,436.2,45.68,86141
C,12/22/18,1108,427,552,73798,8293,1412,10.93,216.45,32.72,84202
C,12/29/18,771,853,224,103359,5565,1648,3.06,78.88,42.64,33790
C,1/5/19,569,1007,855,103477,2602,1628,8.62,64.4,19.41,63002
C,1/12/19,665,665,275,77650,5464,2621,2.48,68.85,65.46,69389
C,1/19/19,729,993,437,97729,12599,3005,4.09,280.64,37.19,47610
C,1/26/19,1284,499,238,79734,42911,3149,4.37,579.3,82.19,167985
C,2/2/19,710,722,581,76229,34359,3110,12.24,386.54,63.68,41854
C,2/9/19,1121,949,231,76351,16700,2351,3.78,225.45,73.53,35106
C,2/16/19,574,568,216,97370,18143,2303,2.49,346.98,51.3,62659
C,2/23/19,454,522,872,64585,7653,2388,17.27,158.42,27.4,64558
C,3/2/19,297,811,263,88506,4220,2427,4.64,132.93,31.13,54858
C,3/9/19,421,642,66,82489,5901,2880,1.56,95.6,33.05,41347
C,3/16/19,614,452,741,75871,11126,4022,16.67,137.68,75.11,47707
C,3/23/19,866,714,923,75398,16565,2750,18.44,488.25,73.01,66589
C,3/30/19,478,830,187,93017,19364,2890,2.69,335.48,78.68,59232
C,4/6/19,350,1657,696,77700,8610,1637,11.28,242.16,25.05,34730
C,4/13/19,920,560,28,75003,15336,2450,0.39,441.68,72.77,43451
C,4/20/19,1003,927,322,82305,20712,1758,6.43,442.72,47.07,55228
C,4/27/19,108,1007,22,95273,19328,1542,0.22,487.07,19.43,74918
C,5/4/19,886,785,522,67525,12746,1465,11.56,183.54,21.1,33758
C,5/11/19,728,1206,228,55964,16639,1285,4.6,348.17,16.77,55523
C,5/18/19,1365,1234,245,65495,25477,1678,2.87,424.19,24.92,41548
C,5/25/19,905,1122,615,64212,29389,1912,7.86,879.47,33.13,49619
C,6/1/19,604,1668,979,56352,10077,1591,22.73,312.89,37.59,75292
C,6/8/19,5302,1907,363,52291,20885,1872,5.23,437.02,27.8,48892
C,6/15/19,3722,2398,404,56493,23830,2403,7.42,579.07,34.6,54492
C,6/22/19,1910,1668,795,67572,21123,1729,9.87,289.91,25.68,83883
C,6/29/19,1776,1729,262,69256,13177,1689,2.92,204.57,49.4,57799
C,7/6/19,1624,2034,856,64862,12340,1668,17.1,305.42,25.52,41214
C,7/13/19,1501,2182,178,40894,30255,2555,2.02,394.83,77.61,79453
C,7/20/19,1342,3604,242,85371,16224,2459,5.53,430.75,65.29,66337
C,7/27/19,1370,3094,534,54682,21790,1492,7.21,573.62,46.66,36365
C,8/3/19,3892,3398,263,42548,9916,1723,5.63,278.89,47.68,44757
C,8/10/19,1568,4680,468,52431,12586,1786,10.53,370.97,44.61,33523
C,8/17/19,2152,4772,38,57530,18210,1247,0.37,372.85,27.5,33675
C,8/24/19,1944,3098,806,56591,13257,1679,13.35,202.83,38.16,101378
C,8/31/19,2557,2314,936,61274,12472,2195,10.95,373.22,30.62,49953
C,9/7/19,1818,1777,670,76811,29338,1309,13.75,818.53,38.29,54020
C,9/14/19,1792,1350,390,97890,26071,1838,5.34,516.21,38.87,87712
C,9/21/19,1775,1793,82,99342,44440,1802,1.12,989.9,22.3,32979
C,9/28/19,2727,1715,993,58851,131001,1317,20.73,2004.32,19.85,44538
C,10/5/19,1017,1813,321,84986,36408,1055,4.28,409.59,28.01,147739
C,10/12/19,873,1209,708,89907,41943,1687,7.26,670.04,44.03,75491
C,10/19/19,658,1717,164,79798,34348,1525,2.07,904.21,35,152811
C,10/26/19,897,1594,149,78711,32935,910,3.67,526.14,26.62,169398
C,11/2/19,1233,1195,99,72250,35725,2092,1.92,594.82,29.18,134013
C,11/9/19,1314,1466,751,115660,57087,1441,16.09,744.99,44.42,140189
C,11/16/19,1406,2369,496,149697,90122,1089,9.37,2311.63,28.91,161867
C,11/23/19,258,2417,685,81005,173786,1062,11.71,4926.83,26.52,175180
C,11/30/19,951,2174,359,149688,100132,1381,8.79,2230.44,36.98,271587
C,12/7/19,1166,2065,652,137369,105250,2027,10.45,1657.69,27.82,266295
C,12/14/19,727,1304,164,82025,103151,1398,3.63,2344.11,25.16,115058
